Country Code,Country Name,obesity rate 1975,log gdp 1975,obesity rate 1976,log gdp 1976,obesity rate 1977,log gdp 1977,obesity rate 1978,log gdp 1978,obesity rate 1979,log gdp 1979,obesity rate 1980,log gdp 1980,obesity rate 1981,log gdp 1981,obesity rate 1982,log gdp 1982,obesity rate 1983,log gdp 1983,obesity rate 1984,log gdp 1984,obesity rate 1985,log gdp 1985,obesity rate 1986,log gdp 1986,obesity rate 1987,log gdp 1987,obesity rate 1988,log gdp 1988,obesity rate 1989,log gdp 1989,obesity rate 1990,log gdp 1990,obesity rate 1991,log gdp 1991,obesity rate 1992,log gdp 1992,obesity rate 1993,log gdp 1993,obesity rate 1994,log gdp 1994,obesity rate 1995,log gdp 1995,obesity rate 1996,log gdp 1996,obesity rate 1997,log gdp 1997,obesity rate 1998,log gdp 1998,obesity rate 1999,log gdp 1999,obesity rate 2000,log gdp 2000,obesity rate 2001,log gdp 2001,obesity rate 2002,log gdp 2002,obesity rate 2003,log gdp 2003,obesity rate 2004,log gdp 2004,obesity rate 2005,log gdp 2005,obesity rate 2006,log gdp 2006,obesity rate 2007,log gdp 2007,obesity rate 2008,log gdp 2008,obesity rate 2009,log gdp 2009,obesity rate 2010,log gdp 2010,obesity rate 2011,log gdp 2011,obesity rate 2012,log gdp 2012,obesity rate 2013,log gdp 2013,obesity rate 2014,log gdp 2014,obesity rate 2015,log gdp 2015,obesity rate 2016,log gdp 2016
AND,Andorra,48.1,19.209716329733965,49.1,19.241697803687043,50.1,19.35292416569602,51.1,19.545639228733073,52.0,19.83550992244263,52.9,19.91676204773765,53.8,19.77898380675933,54.6,19.744822951316298,55.4,19.608102836585143,56.2,19.614817399479907,57.0,19.66407990790495,57.7,19.9934559044537,58.4,20.231125221740516,59.0,20.396740282470887,59.7,20.49441771093721,60.2,20.751900408218557,60.8,20.824854974469194,61.3,20.913897479034496,61.8,20.730267026324643,62.3,20.740662753557753,62.8,20.887711052477407,63.3,20.925345376761264,63.8,20.889286310694732,64.2,20.915481945659312,64.7,20.938277457664466,65.1,21.08027516388944,65.5,21.159535685676993,66.0,21.28625309622094,66.4,21.58265890972102,66.7,21.786223927916698,67.1,21.873807954095543,67.4,21.963505602919128,67.8,22.097639579537326,68.1,22.130741919182192,68.4,22.02465829227081,68.7,21.961630461186527,69.0,22.012279118517096,69.2,21.882913311786385,69.5,21.884447316144836,69.8,21.908608622336097,70.0,21.74926090392194,70.3,21.786830818455183
ARB,Arab World,28.5620579000935,25.486321001771906,29.2022043671135,25.703337026676603,29.8289786722908,25.844429317929432,30.478652160716,25.938036036082725,31.1063194943308,26.240600697652827,31.7754147837169,26.544975360283637,32.4819394501018,26.575507337010443,33.2287701383196,26.511596589803275,33.9801824306198,26.449196310157493,34.7354903044566,26.46338957069935,35.5102804638275,26.453155488010374,36.2498330937633,26.40685344170575,37.0179902330685,26.47095144014273,37.7282256959151,26.454435754069856,38.4626612521049,26.501887211702304,39.1620976598792,26.826725720673558,39.8685342626697,26.81313516016905,40.3332708576711,26.881082634560638,41.0095872230072,26.892353877949677,41.7004252781782,26.914218008075693,42.5550518802487,26.985952903175615,43.2452589995736,27.08475669470653,43.9122844063213,27.143461448033037,44.5789578246966,27.10721892051438,45.2464093875307,27.19178256796348,45.9197848598339,27.32406830890614,46.6134231846644,27.30656026738622,47.3499979422939,27.311962219325817,48.0526822606219,27.433898479769777,48.820060421083,27.595498543589006,49.5825784522605,27.801721575163562,50.3858515750279,27.971771364447427,51.1601913271011,28.125294733742916,51.981491633807,28.363855175073336,52.7873732617718,28.21643882228146,53.576836332278,28.374543590460302,54.3674158476978,28.54492050219333,55.1201788771947,28.651130838967276,55.8975587780948,28.68057356466585,56.6416079732279,28.693795900314658,57.3802591138292,28.561105748270435,58.0936840902096,28.535012582774133
ARE,United Arab Emirates,40.9,23.412518635786448,41.5,23.67885415122128,42.1,23.936999469962917,42.8,23.891935430398956,43.4,24.16449972768415,44.0,24.49829428159233,44.6,24.62186766261734,45.2,24.56535378299549,45.8,24.47988158477057,46.4,24.45635245109871,46.9,24.42712380669359,47.5,24.247966516982324,48.0,24.317419930681616,48.6,24.314413221435455,49.1,24.448115436306704,49.6,24.649220223435886,50.2,24.665860056661725,50.7,24.71666921290612,51.2,24.74190163816228,51.7,24.805961041113047,52.3,24.909029177522296,52.8,25.021519943839305,53.4,25.090673742345214,54.0,25.049704921193808,54.6,25.15937187439353,55.3,25.370895450805406,56.0,25.36101589376897,56.6,25.422073909759835,57.3,25.54633671900426,58.0,25.719290719012548,58.7,25.91964719509369,59.5,26.126468044430453,60.2,26.27590030477551,60.9,26.477344058443904,61.6,26.258816462045612,62.3,26.392413174799803,63.0,26.583100129731594,63.6,26.64909954883715,64.3,26.68968832307572,65.0,26.722542539718727,65.6,26.604176008802874,66.3,26.601127842327703
ARG,Argentina,38.0,24.682909712174705,38.7,24.658409486230642,39.4,24.762467601449096,40.1,24.785136623532996,40.8,24.96102261254407,41.5,25.066576639638384,42.3,25.088614697054172,43.0,25.15773650983422,43.7,25.367455819539167,44.4,25.09387759406712,45.2,25.20532635103452,45.9,25.432205258040977,46.6,25.433752259835813,47.4,25.56118780458101,48.1,25.062344495317973,48.9,25.6745216787432,49.6,25.968815055036146,50.3,26.156064345221896,51.0,26.190235573743525,51.8,26.274052520190484,52.5,26.276348476312023,53.2,26.32961830321514,53.9,26.40295710146686,54.6,26.423536318434483,55.2,26.370559085571255,55.9,26.372957247455506,56.6,26.31684925722117,57.3,25.305413059285826,58.0,25.5720641140264,58.6,25.82713601012837,59.3,26.015248657616947,60.0,26.172402314736317,60.6,26.38459480783412,61.3,26.613688410916257,61.9,26.531337707549337,62.6,26.772120184396353,63.2,26.99645087448891,63.8,27.025852533234676,64.4,27.03685942612164,65.0,26.989174609819035,65.7,27.11140578463773,66.2,27.046784618908614
AUS,Australia,46.5,25.299747659721742,47.2,25.376475573817665,47.9,25.425579803985997,48.5,25.496815817499556,49.2,25.62640522587581,49.8,25.732406979141754,50.5,25.897392535402947,51.1,25.989939143542305,51.8,25.89958739922949,52.4,25.987209986848328,53.1,25.917530075186175,53.7,25.927475434248425,54.3,25.965339110115515,55.0,26.185649429200048,55.6,26.424618850351084,56.2,26.46235454509768,56.9,26.508062575683226,57.5,26.50673482501279,58.2,26.464823510836382,58.8,26.49848103446946,59.5,26.62921706092074,60.1,26.715486926332176,60.8,26.797618288421095,61.4,26.711974436352406,62.1,26.685837530592483,62.7,26.752080680620985,63.3,26.65915447636397,63.9,26.701262375409264,64.5,26.868498263274482,65.1,27.14079910075588,65.6,27.264884058816374,66.1,27.33806409918403,66.7,27.472142178316492,67.2,27.68360931909777,67.7,27.55608761593834,68.1,27.76741955205654,68.6,27.965097560888125,69.1,28.066790239717644,69.5,28.08602814811336,70.0,28.01457028475856,70.5,27.932379725122598,70.9,27.820688123505985
AUT,Austria,38.3,24.413624365766267,39.0,24.483534733644152,39.6,24.66573577220501,40.3,24.85124275523888,40.9,25.026483232624894,41.6,25.13070327743395,42.3,24.986427688566668,42.9,24.98981550638553,43.6,25.00161133039368,44.3,24.942558002525992,44.9,24.96296211580965,45.6,25.318750922790095,46.3,25.544904888280794,46.9,25.616163572453154,47.6,25.61441017906883,48.2,25.838041219358036,48.9,25.881137550718964,49.5,25.99666596512663,50.1,25.97228644527611,50.8,26.03910500984119,51.4,26.208221608703944,52.0,26.192384273548647,52.6,26.08357323814357,53.2,26.108952411630508,53.7,26.10401898705878,54.3,26.005452698003776,54.8,26.00818321935625,55.3,26.086330006864102,55.9,26.290448516360208,56.4,26.430057850078022,56.8,26.47892709347364,57.3,26.540372703061422,57.8,26.686051666297296,58.3,26.78773520082162,58.7,26.71516103596184,59.2,26.69425403354665,59.6,26.789653029834753,60.0,26.73802014519465,60.5,26.787210830476734,60.9,26.814566967258454,61.4,26.668208755282322,61.8,26.703590172535037
BDI,Burundi,5.4,19.858111720519638,5.5,19.921224691271597,5.7,20.120937959200297,5.8,20.229339209991895,5.9,20.478000220518606,6.1,20.639587082414707,6.2,20.691823328310125,6.4,20.73640140856172,6.5,20.8029327550643,6.7,20.71032641368295,6.9,20.863009766788448,7.1,20.907024275153137,7.2,20.84678041058971,7.4,20.802449609213944,7.6,20.831154870577,7.8,20.847341258414804,8.0,20.87804358727749,8.2,20.803035587928974,8.4,20.659934706114505,8.6,20.6453373653663,8.8,20.72369413909723,9.0,20.582892642559457,9.2,20.695788023897006,9.4,20.610959931228958,9.6,20.510168185390974,9.8,20.584562310017564,10.0,20.59178345574186,10.2,20.531371999901996,10.5,20.480753954132055,10.7,20.634715811457983,10.9,20.8340135566147,11.2,20.964936708791747,11.4,21.02795203988978,11.7,21.20063967802422,11.9,21.30069633476156,12.2,21.43235292276469,12.4,21.527874276251634,12.7,21.570552882759063,13.0,21.620017042670547,13.3,21.718657271866817,13.6,21.856084640621273,13.9,21.80833380985187
BEL,Belgium,45.6,24.908032730110158,46.3,24.987548414436212,46.9,25.140175732220587,47.6,25.34082423315378,48.3,25.479571792170685,48.9,25.566108038256907,49.6,25.3746516230919,50.3,25.24609654673789,50.9,25.191289406722905,51.6,25.1463088091648,52.2,25.18072762868235,52.9,25.51091412788593,53.5,25.729855653159767,54.2,25.81270678881006,54.8,25.824479262716633,55.4,26.047892790748822,56.0,26.072803742429716,56.6,26.181921780649024,57.2,26.13812901058336,57.8,26.224050994767087,58.4,26.38631516173374,58.9,26.355199341147944,59.5,26.2555007124113,60.0,26.27827115595366,60.5,26.27683970597392,61.0,26.18796393142773,61.5,26.189388649250024,62.0,26.272955820684015,62.5,26.483371036497278,62.9,26.632806951264794,63.3,26.67799105682114,63.8,26.73433220205461,64.2,26.876688195985423,64.6,26.96786667110172,65.0,26.899852036553845,65.4,26.89903253961089,65.7,26.982169287624416,66.1,26.930207140982073,66.5,26.98024873532529,66.9,27.00493067530632,67.2,26.859154656821236,67.6,26.88813645904666
BEN,Benin,6.4,20.33298999614292,6.7,20.364314367095453,6.9,20.43565008116528,7.2,20.649450611705475,7.4,20.894047114452142,7.7,21.06348216088753,8.0,20.97877586867082,8.3,20.96053198450743,8.6,20.814338234493828,8.9,20.773135348886687,9.2,20.767964502364364,9.6,21.013022286921366,9.9,21.169496637412855,10.2,21.20584394202243,10.6,21.13025938403773,10.9,21.396192577257473,11.3,21.409608851533317,11.6,21.251134581542814,12.0,21.54505154698247,12.3,21.192066200279438,12.7,21.497821215980746,13.0,21.582400474542496,13.4,21.542297167083465,13.7,21.621430309216763,14.1,22.025103460519347,14.5,21.9792376230235,14.8,22.02155315273143,15.2,22.152292651382613,15.6,22.397979502616472,15.9,22.544450840533706,16.3,22.605024964557433,16.7,22.67314851720322,17.1,22.82229645025023,17.5,23.00035636400152,17.9,22.99534912303805,18.4,22.978271182685475,18.8,23.092885267089844,19.2,23.13393005189925,19.7,23.25042112169584,20.2,23.309865935969675,20.7,23.155840140284887,21.2,23.19314904389203
BFA,Burkina Faso,4.9,20.66136139393756,5.0,20.699534024161267,5.2,20.846567199725467,5.3,21.112319705846744,5.4,21.282013237762953,5.6,21.38012260976162,5.7,21.297540896478303,5.9,21.28542147057432,6.1,21.193443673789552,6.3,21.10162031906766,6.5,21.16312812956638,6.7,21.434401932982666,6.9,21.586086354502942,7.1,21.684927807833745,7.3,21.684754974411913,7.5,21.855087789630787,7.7,21.865909583206015,7.9,21.529859870629554,8.1,21.569999828626706,8.3,21.36263820712867,8.5,21.590163824811537,8.7,21.673591067203173,9.0,21.618402145046282,9.2,21.754634695723087,9.5,21.936640103687036,9.7,21.807355279143785,10.0,21.883403063736022,10.3,22.010388879736396,10.6,22.279465059776008,11.0,22.419191281732946,11.3,22.53912469276517,11.7,22.602336936287692,12.1,22.75479299081858,12.4,22.96943256255995,12.9,22.969354367849732,13.3,23.03675318027594,13.7,23.21484158577941,14.1,23.25386389371649,14.6,23.321821146077774,15.1,23.35824464095055,15.6,23.1940870236912,16.1,23.27531413010234
